site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
25,2/28/2017,278,4431,688,11423.84,0,0,0,0,0.00,,,41.0929,
45,3/8/2017,3,396,3,26.97,51478,230,3,79.78,26.97,8.989999771,0.0130,8.9900,2.9581
33,3/8/2017,1811,33861,7563,184462.20,114052,995,48,1317.36,2335.37,48.65354208,0.0482,101.8565,0.5641
23,3/6/2017,213,24863,750,54770.09,41620,830,14,195.33,2102.30,150.1642857,0.0169,257.1366,0.0929
2,3/18/2017,6,772,8,485.95,11354,124,1,27.93,53.01,53.00999832,0.0081,80.9917,0.5269
36,3/4/2017,16,2630,25,2117.20,5128,67,5,35.83,1026.00,205.2,0.0746,132.3250,0.0349
24,3/14/2017,18,1629,35,662.95,57119,644,5,107.85,222.65,44.53000031,0.0078,36.8306,0.4844
11,3/12/2017,35,5274,40,2168.48,94865,1588,16,508.02,1662.44,103.9025004,0.0101,61.9566,0.3056
40,3/20/2017,10,379,14,1278.00,714,9,0,3.9,0.00,,0.0000,127.8000,
27,3/21/2017,366,16566,1725,54564.34,84260,1617,56,1169.73,6100.27,108.9333934,0.0346,149.0829,0.1918
52,3/12/2017,26,6057,40,16375.00,43701,619,11,287.06,4512.38,410.216362,0.0178,629.8077,0.0636
24,3/10/2017,24,1311,73,1645.81,53494,635,6,161.66,194.12,32.35333316,0.0094,68.5754,0.8328
11,3/18/2017,35,3892,48,2707.85,80963,1446,26,393.46,2070.81,79.64653804,0.0180,77.3671,0.1900
35,3/11/2017,5584,1214,12936,300254.31,101515,568,13,340.13,1024.94,78.84153777,0.0229,53.7705,0.3319
35,2/26/2017,6427,1122,15047,354913.44,110354,696,31,396.2,1196.51,38.59709709,0.0445,55.2223,0.3311
34,3/19/2017,10,3091,29,4234.67,29956,368,2,120.13,279.24,139.6199989,0.0054,423.4670,0.4302
24,3/16/2017,13,1390,21,481.37,48843,548,3,93.3,75.48,25.15999985,0.0055,37.0285,1.2361
7,3/20/2017,0,281,0,0.00,2862,31,0,8.17,0.00,,0.0000,,
22,3/15/2017,17,4496,21,15585.80,16072,116,0,115.47,0.00,,0.0000,916.8118,
15,3/22/2017,58,3786,242,5254.81,78978,799,23,293.09,1783.75,77.55434783,0.0288,90.6002,0.1643
4,2/24/2017,1979,248812,16724,193340.53,159480,2337,88,1192.39,4306.63,48.93897721,0.0377,97.6961,0.2769
26,3/20/2017,102,19371,143,10364.85,27974,354,3,169.47,80.82,26.94000053,0.0085,101.6162,2.0969
42,3/7/2017,1959,92464,4267,213753.24,717202,7255,269,6302.27,15717.88,58.43078056,0.0371,109.1134,0.4010
40,3/9/2017,6,507,13,972.00,461,0,0,0,0.00,,,162.0000,
49,2/23/2017,75,2578,186,8125.03,38697,1120,47,215.86,4115.16,87.55659637,0.0420,108.3337,0.0525
16,3/22/2017,134,3574,255,9783.89,7669,124,6,65.07,386.58,64.42999951,0.0484,73.0141,0.1683
29,3/8/2017,16,1641,76,1126.10,42351,694,4,202.84,263.91,65.97749805,0.0058,70.3812,0.7686
21,3/19/2017,17,910,30,1503.54,23878,307,11,32.87,563.80,51.25454539,0.0358,88.4435,0.0583
17,2/24/2017,99,12966,291,17096.90,53306,826,21,129.6,2764.81,131.6576183,0.0254,172.6960,0.0469
38,2/23/2017,3,225,3,297.97,8176,122,1,63.32,399.96,399.9599915,0.0082,99.3233,0.1583
28,3/21/2017,0,4657,0,0.00,114913,1271,20,573.87,1002.42,50.12099977,0.0157,,0.5725
22,3/20/2017,19,5102,21,20599.00,23236,145,1,136.34,469.00,469,0.0069,1084.1579,0.2907
9,3/13/2017,294,28010,1069,86667.27,413145,6335,103,1630.97,18390.91,178.5525235,0.0163,294.7866,0.0887
1,3/9/2017,22,2868,29,18570.12,101355,1699,11,562.09,9361.60,851.0545509,0.0065,844.0964,0.0600
32,3/2/2017,14,2216,47,11944.92,26801,323,5,263.77,2159.83,431.9660004,0.0155,853.2086,0.1221
55,3/12/2017,28,8808,51,19777.52,191882,2003,12,1232.34,8015.47,667.955836,0.0060,706.3400,0.1537
36,2/24/2017,188,3655,343,32673.25,4245,57,8,29.89,466.80,58.34999847,0.1404,173.7939,0.0640
50,2/28/2017,11,772,14,13539.99,36957,345,6,147.75,4678.99,779.831665,0.0174,1230.9083,0.0316
